1.000000000000000000e+01,1.000000000000000000e+02
1.111111111111111072e+01,1.234567901234567842e+02
1.222222222222222143e+01,1.493827160493827080e+02
1.333333333333333393e+01,1.777777777777777999e+02
1.444444444444444464e+01,2.086419753086419746e+02
1.555555555555555536e+01,2.419753086419752890e+02
1.666666666666666785e+01,2.777777777777778283e+02
1.777777777777777857e+01,3.160493827160494220e+02
1.888888888888888928e+01,3.567901234567901270e+02
2.000000000000000000e+01,4.000000000000000000e+02
