0.000000000000000000e+00,1.311650643083797618e+01
1.010101010101010166e+00,1.832768011076653636e+01
2.020202020202020332e+00,2.356609839699676456e+01
3.030303030303030276e+00,1.818585858611086792e+01
4.040404040404040664e+00,3.411620544796943477e+01
5.050505050505051052e+00,3.023387605500024478e+01
6.060606060606060552e+00,5.218671385660766049e+01
7.070707070707070940e+00,6.985596925297016924e+01
8.080808080808081328e+00,6.630247930527578148e+01
9.090909090909091717e+00,9.516354929222467263e+01
